Anahtar Kelime,Arama Hacmi (Aylık),Zorluk (KD),CPC (TL),Arama Amacı,Öncelik,Hedef Sayfa,Durum,Notlar
örnek: seo nedir,12100,35,2.50,Bilgi Amaçlı,Yüksek,/blog/seo-nedir,Yayında,Ana hedef kelime
örnek: seo danışmanlık,1900,48,8.20,Ticari,Yüksek,/hizmetler/seo-danismanlik,Taslak,Hizmet sayfası hedefi
örnek: google search console nasıl kullanılır,880,22,0.80,Bilgi Amaçlı,Orta,/blog/gsc-rehberi,Planlandı,Long-tail fırsat
örnek: en iyi seo araçları 2025,2400,55,3.10,Bilgi Amaçlı,Orta,/blog/seo-araclari,Planlandı,Listicle içerik
örnek: wordpress seo eklentisi,1600,42,1.90,Ticari,Düşük,/blog/wordpress-seo,Beklemede,Rakip içerik güçlü
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
